id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
206362,,2016,True,Clear,1,209,209,Philippines:Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,1,"""PNA (Philippines News Agency),2016-01-02,SOLCOM fends off NPA attack in Camarines Sur""",PNA (Philippines News Agency),2016-01-02,SOLCOM fends off NPA attack in Camarines Sur,Military,2,Scout Fuentebella village,,Camarines Sur province,Goa municipality,13.830042,123.395271,POINT (123.395271 13.830042),149647,Philippines,840,Asia,1,1,01/01/2016 00:00:00,01/01/2016 00:00:00,0,1,0,0,1,1,1,
206852,,2016,True,Clear,3,303,514,Taleban - Civilians,303,981,Taleban - Civilians,303,303,Taleban,9999,1,Civilians,2,"""Agence France Presse,2016-01-01,Taliban suicide bomber hits French restaurant in Kabul"";""Xinhua News Agency,2016-01-02,Roundup: 3 killed in car bomb blast at restaurant in central Kabul""",Agence France Presse;Xinhua News Agency,2016-01-01;2016-01-02,Taliban suicide bomber hits French restaurant in Kabul;Roundup: 3 killed in car bomb blast at restaurant in central Kabul,"Kabul's Criminal Investigation Department, Taleban",1,Kabul city,,Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,01/01/2016 00:00:00,01/01/2016 00:00:00,0,0,1,1,2,2,2,
207392,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,1,"""BBC Monitoring South Asia,2016-01-03,Official says four opponents killed, eight injured in operation in Afghan north""",BBC Monitoring South Asia,2016-01-03,"Official says four opponents killed, eight injured in operation in Afghan north",Governor,1,Aqsai village,,Sari Pul province,Sayyad district,36.119300,65.530700,POINT (65.530700 36.119300),181932,Afghanistan,700,Asia,1,2,01/01/2016 00:00:00,01/03/2016 00:00:00,0,1,0,0,1,1,1,
207393,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,1,"""Xinhua News Agency,2016-01-03,Afghan battle claims 21 lives of militants in 24 hours""",Xinhua News Agency,2016-01-03,Afghan battle claims 21 lives of militants in 24 hours,Ministry of Interior ,4,Sari Pul province,,Sari Pul province,,35.833333,66.166667,POINT (66.166667 35.833333),181213,Afghanistan,700,Asia,2,2,01/02/2016 00:00:00,01/03/2016 00:00:00,0,2,0,0,2,2,2,
207395,,2016,False,Clear,3,528,569,FDLR - Civilians,528,1036,FDLR - Civilians,528,528,FDLR,9999,1,Civilians,10,"""Agence France Presse,2016-01-07,14 killed in east DR Congo by suspected Rwandan rebels: officials"";""Agence France Presse,2016-01-07,14 killed in east DR Congo by suspected Rwandan rebels"";""Reuters News,2016-01-07,Hutu militia kill 14 from rival ethnic group in east Congo: army"";""Cihan News Agency (CNA),2016-01-09,18 people killed in an attack by alleged FDLR militias in DRC"";""BBC Monitoring Africa,2016-01-09,Rwandan rebels kill 14 civilians, injure some 10 others in eastern DRCongo"";""BBC Monitoring Africa,2016-01-09,Monusco vows to act following Rwandan Hutu rebel killings in DRCongo village"";""BBC Monitoring Africa,2016-01-09,DRCongo regional official calls for calm, announces probe into killings in east"";""BBC Monitoring Africa,2016-01-09,DRCongo ethnic militia burn Rwandan Hutu rebels alive to avenge killings"";""BBC Monitoring Africa,2016-02-23,Over 10 rebel fighters arrested over DRCongo ethnic massacres"";""ARB,2016-03-04,Military Cooperation Resumes""",Agence France Presse;Agence France Presse;Reuters News;Cihan News Agency (CNA);BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;BBC Monitoring Africa;ARB,2016-01-07;2016-01-07;2016-01-07;2016-01-09;2016-01-09;2016-01-09;2016-01-09;2016-01-09;2016-02-23;2016-03-04,"14 killed in east DR Congo by suspected Rwandan rebels: officials;14 killed in east DR Congo by suspected Rwandan rebels;Hutu militia kill 14 from rival ethnic group in east Congo: army;18 people killed in an attack by alleged FDLR militias in DRC;Rwandan rebels kill 14 civilians, injure some 10 others in eastern DRCongo;Monusco vows to act following Rwandan Hutu rebel killings in DRCongo village;DRCongo regional official calls for calm, announces probe into killings in east;DRCongo ethnic militia burn Rwandan Hutu rebels alive to avenge killings;Over 10 rebel fighters arrested over DRCongo ethnic massacres;Military Cooperation Resumes","Bokele Joy, administrator of the Lubero area u",1,Miriki village,,Nord Kivu province,Lubero territory,-0.712194,29.056317,POINT (29.056317 -0.712194),128579,DR Congo (Zaire),490,Africa,1,1,01/07/2016 00:00:00,01/07/2016 00:00:00,0,0,18,0,18,18,18,
207396,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,2,"""Xinhua News Agency,2016-01-04,2nd LD Writethru: Attacker killed in suicide bombing in Kabul"";""NBC News,2016-01-04,Attack Near Kabul Airport Targets U.S. Convoy""",Xinhua News Agency;NBC News,2016-01-04;2016-01-04,2nd LD Writethru: Attacker killed in suicide bombing in Kabul;Attack Near Kabul Airport Targets U.S. Convoy,POlice,1,Kabul international airport,,Kabul province,Kabul district,34.564444,69.217222,POINT (69.217222 34.564444),179779,Afghanistan,700,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,0,1,0,0,1,1,1,
207397,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,1,"""Xinhua News Agency,2016-01-04,Afghan army kills 19 militants in latest operations""",Xinhua News Agency,2016-01-04,Afghan army kills 19 militants in latest operations,Defense Ministry ,6,Afghanistan,,,,33.000000,65.000000,POINT (65.000000 33.000000),177611,Afghanistan,700,Asia,2,2,01/03/2016 00:00:00,01/04/2016 00:00:00,4,19,0,0,23,23,23,
207490,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,1,"""BBC Monitoring South Asia,2016-01-04,Bodies of five kidnapped Afghan soldiers found in eastern province""",BBC Monitoring South Asia,2016-01-04,Bodies of five kidnapped Afghan soldiers found in eastern province,Deputy governor,1,Shalez village,,Ghazni province,Ghazni district,33.467190,68.466988,POINT (68.466988 33.467190),177617,Afghanistan,700,Asia,1,2,01/01/2016 00:00:00,01/04/2016 00:00:00,3,0,0,0,3,2,3,
207495,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,4,"""Xinhua News Agency,2016-01-04,2nd LD Writethru: 1 killed, 30 injured in Kabul truck bombing"";""NBC News,2016-01-04,Attack Near Kabul Airport Targets U.S. Convoy"";""BBC Monitoring South Asia,2016-01-05,Afghan interior ministry provides update about recent security incidents"";""UNAMA,2016-07-01,Afghanistan Midyear Report on Protection of Civilians in Armed Conflict: 2016""",Xinhua News Agency;NBC News;BBC Monitoring South Asia;UNAMA,2016-01-04;2016-01-04;2016-01-05;2016-07-01,"2nd LD Writethru: 1 killed, 30 injured in Kabul truck bombing;Attack Near Kabul Airport Targets U.S. Convoy;Afghan interior ministry provides update about recent security incidents;Afghanistan Midyear Report on Protection of Civilians in Armed Conflict: 2016","public health ministry official,Taleban, ministry of interior affairs, UNAMA ",1,Kabul city,,Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,0,1,5,0,6,6,6,
207496,,2016,True,Clear,2,14542,13540,IS - Taleban,14542,14542,IS - Taleban,234,234,IS,303,303,Taleban,1,"""BBC Monitoring South Asia,2016-01-05,Agency reports fighting between Taleban, ISIS in Afghan east""",BBC Monitoring South Asia,2016-01-05,"Agency reports fighting between Taleban, ISIS in Afghan east","Police, local official",1,Sangena village,,Nangarhar province,Chaparhar district,34.237800,70.320300,POINT (70.320300 34.237800),179061,Afghanistan,700,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,3,2,0,0,5,10,5,
